species	total_cds	annotated_cds	biofilm	ab_degradation	quorum_sensing	siderophores	secretion_system_no4
Bacteroides_stercoris_56735	3410	2485	5	3	1	4	0
Bacteroides_thetaiotaomicron_56941	5209	3754	9	6	0	11	0
Bacteroides_uniformis_57318	4110	2782	4	6	1	4	0
Bacteroides_vulgatus_57955	4303	3114	7	4	1	4	0
Barnesiella_intestinihominis_62208	2990	2010	6	3	1	3	0
Bifidobacterium_adolescentis_56815	1967	1594	2	0	1	0	1
Bifidobacterium_longum_57796	2058	1663	2	1	1	0	0
Blautia_wexlerae_56130	4401	3212	4	1	6	2	3
Burkholderiales_bacterium_56577	2420	1887	2	2	0	1	0
Butyricimonas_virosa_58742	4008	2745	4	2	1	10	1
Butyrivibrio_crossotus_61674	2406	1917	5	0	5	0	1
Clostridiales_bacterium_56470	4857	3011	5	4	0	7	1
Clostridium_leptum_61499	3105	2249	1	1	1	1	0
Clostridium_nexile_61654	3796	2798	2	3	4	3	0
Clostridium_sp_61482	2604	2066	2	2	3	1	1
Collinsella_sp_62205	1924	1610	3	3	1	0	0
Coprobacillus_sp_47700	3889	2979	0	2	3	0	1
Coprobacter_fastidiosus_56550	3411	2298	5	3	1	3	0
Coprobacter_sp_60889	3387	2408	5	4	0	3	0
Coprococcus_comes_61587	3218	2442	2	0	1	1	0
Coprococcus_eutactus_61480	2597	2126	2	1	2	2	1
Coprococcus_sp_62244	2593	2013	2	1	1	2	1
Dialister_invisus_61905	1955	1435	1	2	0	11	3
Dialister_succinatiphilus_62213	2150	1603	1	6	0	2	2
Dorea_formicigenerans_56346	3871	2931	3	1	3	4	0
Dorea_longicatena_61473	2769	2306	4	1	1	1	0
Erysipelotrichaceae_bacterium_55770	2887	2283	3	1	1	2	1
Escherichia_coli_58110	3989	3507	49	15	4	23	2
Eubacterium_eligens_61678	2632	2188	5	1	4	1	2
Eubacterium_hallii_61477	2893	2307	3	4	3	2	0
Eubacterium_ramulus_59802	3215	2440	0	2	1	1	0
Eubacterium_rectale_56927	3105	2401	5	2	8	1	2
Eubacterium_siraeum_57634	2375	1870	2	0	0	2	4
Eubacterium_ventriosum_61474	2543	1962	1	2	5	0	0
Faecalibacterium_cf_62236	2783	2027	2	0	1	0	0
Faecalibacterium_prausnitzii_57453	2776	2115	3	0	1	1	0
Faecalibacterium_prausnitzii_61481	2791	2121	3	1	1	2	0
Faecalibacterium_prausnitzii_62201	3231	2266	4	1	1	2	0
Guyana_massiliensis_60772	2894	2335	3	3	6	2	1
Lachnospiraceae_bacterium_51870	2767	2099	1	0	3	1	0
Lachnospiraceae_bacterium_56833	10188	5660	8	6	0	2	4
Odoribacter_laneus_62216	3304	2322	4	2	1	4	1
Odoribacter_splanchnicus_62174	3831	2586	3	1	1	10	1
Oscillibacter_sp_60799	2785	1929	2	3	0	1	0
Oscillospiraceae_bacterium_54867	3723	2577	1	3	0	1	0
Parabacteroides_distasonis_56985	4511	3254	6	2	0	9	0
Parabacteroides_goldsteinii_56831	5539	3890	5	3	0	6	0
Parabacteroides_johnsonii_55217	3842	2872	4	3	0	7	2
Parabacteroides_merdae_56972	3663	2775	6	2	0	5	0
Paraprevotella_clara_33712	3442	2316	4	3	1	2	0
Phascolarctobacterium_sp_59817	2303	1829	2	2	0	8	7
Phascolarctobacterium_sp_59818	1812	1446	1	1	0	2	1
Phascolarctobacterium_succinatutens_61948	1979	1623	1	3	0	7	2
Prevotella_copri_61740	2808	2003	2	4	1	3	0
Prevotella_stercorea_58308	2480	1795	2	2	1	5	1
Roseburia_hominis_61877	3388	2641	6	2	2	2	1
Roseburia_intestinalis_56239	3963	2927	4	2	7	3	1
Roseburia_inulinivorans_61943	3996	2980	4	3	5	0	1
Ruminococcus_bicirculans_59300	2746	2068	1	3	3	0	2
Ruminococcus_bromii_62047	2169	1674	7	1	1	1	0
Ruminococcus_gnavus_57638	3521	2665	3	1	2	4	0
Ruminococcus_lactaris_55568	2524	1985	5	1	1	2	0
Ruminococcus_obeum_61472	3547	2702	5	1	2	2	0
Ruminococcus_sp_55468	3442	2623	4	2	1	2	0
Ruminococcus_torques_62045	3121	2468	5	2	3	4	0
Subdoligranulum_sp_62068	4486	2914	3	1	2	1	0
Sutterella_wadsworthensis_56828	2560	1961	2	0	0	7	0
Sutterella_wadsworthensis_62218	2374	1753	0	0	0	1	0
